method,target_filter,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
bspline_q_knot10,centered_ma21,32056,2.4564686689060418,2.092969923383875,0.9364083633785941,0.9375575040341338,0.7431272440197669,2.4564686689060418,2.6659577977251425,7.749102604338396,0.9779849794536056,1.7601529870573684,-0.10545980752739076,0.9834453002691271,1.038632181824183,1.7819452742014392,-0.27203911577110457,0.2979731766968728,1.6052431277263077,2.6207063556363375,0.5536112487135408,0.49058147159977644
bspline_q_knot10,lowpass_5hz,32056,3.3369496516402393,2.918650923281317,0.88697392416848,0.888888677747069,1.4051064670270539,3.3369496516402393,3.797411836808162,11.128166499692133,1.477471405081421,2.863745764516159,-0.107623819575173,0.9568184423262401,1.4472193831965319,2.5548724651852526,-0.2708165313925179,0.1299936289569508,1.9855524494747823,3.290464483741869,0.552003138333416,0.42493508427666316
bspline_q_knot15,centered_ma21,32056,2.5466958845161356,2.147341328245424,0.9330166494857209,0.9342123557012995,0.7930658543762827,2.5466958845161356,2.71063911499872,7.927007009085002,1.018667103566677,1.831127281229698,-0.1115041507006743,0.9818257791971157,1.0713874606816645,1.8254016090902603,-0.2698591761241762,0.28663593321278413,1.656311265739977,2.6735942447274024,0.5697219388698523,0.4759639451480875
bspline_q_knot15,lowpass_5hz,32056,3.4195221190137612,2.957785944573197,0.8837663141859864,0.8857226631989173,1.4433038784735683,3.4195221190137612,3.814755766667102,11.158865500693672,1.5140633026121149,2.9055258384743725,-0.11366816274845655,0.9553200667975652,1.4837328305972444,2.583998849474769,-0.2686365917455895,0.12586583685501634,2.0318362759480384,3.3356202765925165,0.5681138284897276,0.41242688777383524
bspline_q_knot21,centered_ma21,32056,2.715660509955046,2.3159908180230793,0.9222753915981577,0.9236107944556817,0.8483843924733213,2.715660509955046,2.9523936733051594,8.593085336907642,1.0915853178114305,1.965678831409911,-0.10410845827522551,0.9787151570426941,1.164058280111561,2.065854841445932,-0.23830537109955843,0.24069960232234533,1.7444832932824208,2.8213101412859602,0.5592962531784536,0.45911166610610493
bspline_q_knot21,lowpass_5hz,32056,3.5728571177185215,3.080835581662686,0.8737158774310023,0.8757944372943788,1.483815000568461,3.5728571177185215,3.9635004301860097,11.680638649512868,1.5757155608067084,2.9918634722284407,-0.10627247032300775,0.9523020219694874,1.5743565753607611,2.7615545870046074,-0.23708278672097174,0.10421489717840542,2.1139796314525525,3.4492336642007277,0.5576881427983288,0.398066676929623
bspline_q_knot30,centered_ma21,32056,3.112568821820215,2.923896709873556,0.8806478106711447,0.8825304059664959,1.1203113946956935,3.112568821820215,3.99492568635024,9.76025695949257,1.2431857916609006,2.4526330505167304,-0.1170370172384298,0.9661326599877891,1.3866857203971081,2.8990328864844357,-0.2395719685696028,0.14328517202716148,1.9582812613469274,3.350778320423918,0.5943268306318362,0.4015927657399421
bspline_q_knot30,lowpass_5hz,32056,3.9572297373641807,3.5569505772541925,0.8346023206999342,0.8371589757068634,1.7320500780389585,3.9572297373641807,4.721866689436226,13.175600054918084,1.7315525627940747,3.341347568936134,-0.11920102928621204,0.9397131085396367,1.795397659488789,3.4218765228580605,-0.23834938419101612,0.062378746824640716,2.3174321372600972,3.8835357231476855,0.5927187202517114,0.3493101871987149
raw_q,centered_ma21,32056,3.5999200052319975,3.4394405546992872,0.8666526192107528,0.8686136847251252,1.7116857284843043,3.5999200052319975,4.746559800935925,11.685079351423909,1.6333571592098768,3.5883800498138787,-0.062267017693474744,0.9361990408767839,1.894800607396244,3.379683618352266,-0.11397301869444437,0.43852204172041964,1.8326105310892664,3.345223646614604,0.18653830918001274,0.6004052977488831
raw_q,lowpass_5hz,32056,2.666168711566758,2.7319904747661448,0.9181245773193913,0.9192931040965141,1.0859742806046337,2.666168711566758,3.9093298996249075,8.33516487248464,1.1016265770205491,2.80198756423661,-0.06443102974125699,0.9616123730747614,1.5633511965416111,2.842894597516239,-0.1127504343158577,0.6559321602625652,1.284820935276936,2.5412854739118163,0.18493019879988792,0.7947900908935447
savgol_q_w15_p3,centered_ma21,32056,4.699309192649059,12.783386912218788,0.4228683663152034,0.42586030546532666,3.166104776501757,4.699309192649059,21.637038520886904,10.253501405766688,1.9906237312722839,10.40536500521964,-0.06117099555996499,0.6763565906078586,2.0500322608208736,10.728912261672663,-0.09908062363092186,0.15482658059632134,2.952701479402689,16.33596534129343,0.24665373785807435,0.1495449590417296
savgol_q_w15_p3,lowpass_5hz,32056,3.7068258653794848,12.678363133840952,0.43856866295714886,0.4414108762893227,2.542851756358863,3.7068258653794848,21.64444772370886,6.641702807617561,1.4271631742392084,10.245143125857625,-0.06333500760774723,0.6884978001978503,1.7128784594776345,10.6447245643496,-0.0978580392523352,0.19794889602643023,2.3715603910182863,16.246524444952417,0.2450456274779495,0.18276264073011553
savgol_q_w9_p3,centered_ma21,32056,4.020554815153928,9.248243165012605,0.5421951758548089,0.5456054418880666,2.4063703366925044,4.020554815153928,15.505648773784012,10.57178341415119,1.700889273580047,5.8107205506249135,-0.06193967867952462,0.8544092162254638,1.8603930752824522,8.575817837951025,-0.11050650763300997,0.18911127092491326,2.4209078652096347,12.218055492198149,0.2173729830558464,0.19953659181471306
savgol_q_w9_p3,lowpass_5hz,32056,2.8948114853129714,9.033102793951466,0.5713569836691413,0.5744466409222714,1.713162198561644,2.8948114853129714,15.375659489035955,6.201084830178132,1.0907839359366764,5.39792829289045,-0.06410369072730686,0.8757850793203191,1.4401960888951626,8.402613453859603,-0.1092839232544233,0.27246422198420145,1.7694545913631914,12.043641291076037,0.2157648726757216,0.2590437790632858
