method,target_filter,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
bspline_q_knot10,centered_ma21,96168,2.8446875495558026,2.751086330754644,0.8998468174577124,0.8975252991575198,1.1330972694012418,2.8446875495558026,3.822719024882336,9.188946911350854,1.4614291226663427,3.267607018755299,0.7668303798384923,0.9049535932594297,1.3135261351846503,2.343073176559735,-0.16288847130086645,0.8573858548599744,1.4667395523202833,2.5569865971613015,0.6178703114822074,0.8580175963239439
bspline_q_knot10,lowpass_5hz,96168,3.7387337715226843,3.5290007256331433,0.8499841817701321,0.847793355503156,1.8723101275439842,3.7387337715226843,4.835639373467951,12.222664581039352,1.8592667076438931,4.04986411096678,0.7660183332541921,0.8643014888165972,1.7863302563578867,3.198270058061058,-0.16260255028672432,0.7713480069135732,1.8912822715939106,3.2758522071319276,0.6174136144182929,0.7907443934891937
bspline_q_knot15,centered_ma21,96168,2.9159350318527846,2.7875748958023006,0.8971248393989576,0.8947262346686369,1.165537131943537,2.9159350318527846,3.848252108312982,9.360862443051635,1.485894009931903,3.2928992122758016,0.7803130733841159,0.9033544137974345,1.3510392024542315,2.393896034076955,-0.16096452586893015,0.8518669382394959,1.5090920629124889,2.595726864472772,0.6299022646477271,0.854053017829419
bspline_q_knot15,lowpass_5hz,96168,3.80415372042958,3.5581649548126455,0.8473473776283126,0.8450839521870135,1.9004522631523644,3.80415372042958,4.848714057181802,12.257452604911801,1.881782098017839,4.068811728344981,0.7795010267998156,0.8628696869513152,1.8230199829371663,3.2390520588746563,-0.16067860485478805,0.7658705025528775,1.927639889564273,3.3068000266349333,0.6294455675838126,0.7870136634455877
bspline_q_knot21,centered_ma21,96168,3.108715513513457,3.030116509091541,0.8780934542963724,0.875901819375994,1.2334038338780722,3.108715513513457,4.228558386973992,10.292793543305926,1.5825778252413727,3.5445738292195137,0.7798541175632235,0.8857189662683578,1.448900195939518,2.6168956090383033,-0.15399080803587084,0.8277867097833279,1.6073406206646463,2.851783988421193,0.6135670232860718,0.8269566219176954
bspline_q_knot21,lowpass_5hz,96168,3.982536012605064,3.747532080177816,0.8297209992710313,0.8276519749685163,1.9525871074408911,3.982536012605064,5.125563089475083,13.038896567914184,1.972464112814831,4.272910468601326,0.7790420709789232,0.8462143327540597,1.9175421348470816,3.408649723545396,-0.15370488702172874,0.7439857296560493,2.014055191522096,3.5007618121455644,0.6131103262221572,0.7635055911534911
bspline_q_knot30,centered_ma21,96168,3.436060377412839,3.4720327368196204,0.8444884027043401,0.8427973060798865,1.4749007591863528,3.436060377412839,4.935435447801437,12.17665865974214,1.71168416842432,3.78301322466717,0.7363346762843818,0.8694669983985285,1.6321750635294703,3.2502041683921634,-0.16393967324319356,0.7579365130360259,1.78451751238837,3.360062169424984,0.6114118461871494,0.7781720033396189
bspline_q_knot30,lowpass_5hz,96168,4.303784895397577,4.106018938883348,0.7985771288918447,0.7969794734551767,2.174409904593296,4.303784895397577,5.6617674054621725,14.86841598904062,2.101600615165963,4.459154650682429,0.7355226297000814,0.8315558428031573,2.096189681223175,3.9111993625765713,-0.16365375222905143,0.6819903981577542,2.1929242926577377,3.9238544732041336,0.6109551491232349,0.7185773024555195
raw_q,centered_ma21,96168,3.318790182679778,3.2902873175442124,0.8886058470052789,0.8885994023844112,1.7287213269389916,3.318790182679778,4.632882862681205,10.61220434914226,1.6240054594059814,3.4033857726258234,0.03664954579374621,0.9133691037851926,1.714172997374115,3.2351756506732205,-0.06210109398577481,0.8203218259483415,1.6022617306117217,3.2293305324720327,0.1559708421685304,0.8328372156963708
raw_q,lowpass_5hz,96168,2.373333786127677,2.598584723624814,0.9319825787016587,0.9319713361065094,1.0392058397448316,2.373333786127677,3.8242926714875813,7.002258625620242,1.0764692623632106,2.5881577446118276,0.03583749920944598,0.9507501684844002,1.2804013168404953,2.581300378529761,-0.061815172971632706,0.8895534660623305,1.1843903186236309,2.626072265261694,0.1555141451046159,0.8930088946694308
savgol_q_w15_p3,centered_ma21,96168,4.247307896187363,11.74752077929399,0.4757826914558655,0.4758012458082026,2.907263042418733,4.247307896187363,19.89907306923659,10.508554005397176,2.099463996424462,11.493645247455941,0.04204613267424715,0.5516074607032755,2.074918453101485,11.051472630028444,-0.058769865186568584,0.3870224124239733,2.1272114696137816,12.640166336452932,0.18868476164655,0.35639995485015713
savgol_q_w15_p3,lowpass_5hz,96168,3.229636015444143,11.624059033990697,0.4924458137222339,0.4924625350789653,2.169707454222154,3.229636015444143,19.872737518642175,5.8931719022858955,1.5151987445991069,11.340533076458867,0.04123408608994692,0.5679624866563763,1.61948748649595,10.929700982321373,-0.058483944172426486,0.41015652145710174,1.6679813632042697,12.54153863191785,0.18822806458263547,0.37507706191237217
savgol_q_w9_p3,centered_ma21,96168,3.638946218529358,8.383680956330275,0.6046702957292457,0.6046849836179627,2.271399898506047,3.638946218529358,14.0576096670542,10.263387714560695,1.8154569880478042,8.485286589518138,0.03760690078936311,0.6681914840142256,1.80639675027563,8.329355933061217,-0.061092540720805034,0.48617136503574504,1.766695531887364,8.3354700147458,0.1697509288681679,0.502005260139873
savgol_q_w9_p3,lowpass_5hz,96168,2.5341770154929937,8.153340247984257,0.6323518674607598,0.6323640247284805,1.4856365012081194,2.5341770154929937,13.892761368869294,5.530894790471223,1.1913601910227827,8.21102022896036,0.03679485420506288,0.6938849984199177,1.2978570625187842,8.11260085735069,-0.060806619706662936,0.5246786030704332,1.2735333673143456,8.136075572849391,0.16929423180425338,0.5360431370480984
