method,target_filter,sequence_id,num_frames,mean_l2_error,rmse,pearson_correlation,cosine_similarity,magnitude_mae,residual_mean,residual_std,residual_p95,x_mae,x_rmse,x_bias,x_pearson_correlation,y_mae,y_rmse,y_bias,y_pearson_correlation,z_mae,z_rmse,z_bias,z_pearson_correlation
bspline_q_knot10,centered_ma21,s5_freestyle1,1656,1.1306992805784246,0.8753385697873318,0.9887442394448752,0.9883382809499162,0.40574996481062625,1.1306992805784246,1.0100356291594013,3.405815250245924,0.49849743760876813,0.7198557199047567,0.2581491016773576,0.9952421170885842,0.48669518162562214,0.7479615864464947,0.06062852138635937,0.9802351672857177,0.7216427691724008,1.1049950420670862,0.21139842457281974,0.9710486131513918
bspline_q_knot10,lowpass_5hz,s5_freestyle1,1656,1.513850559377623,1.1405725226240178,0.9808892844807141,0.9805055004859654,0.6777145148507219,1.513850559377623,1.269241317467567,3.978395498971084,0.7135333293963984,1.0542920595482783,0.256563133361034,0.9890351103362276,0.6313897523552248,0.9251941175724339,0.06132221730151225,0.9695421236685278,0.9183159776061919,1.3911150693158216,0.2160516427009471,0.9537460853859557
bspline_q_knot15,centered_ma21,s5_freestyle1,1656,1.0266004234810684,0.8037747349469134,0.9905550773436747,0.9901746649940592,0.3455357653276666,1.0266004234810684,0.9403472997384709,2.9978899945548316,0.47063709661240616,0.6873278064749934,0.25222994204774596,0.9956365197533967,0.46644734815357547,0.6572932715735289,0.0711916039556269,0.9849628446895313,0.6128346508106353,1.0167140774118275,0.18619321131338376,0.9751650988589475
bspline_q_knot15,lowpass_5hz,s5_freestyle1,1656,1.3566620150092077,1.0654591593635179,0.9833654491826657,0.9830031729012925,0.5778585561993047,1.3566620150092077,1.251030710192998,3.875698828709568,0.6386133511775681,0.9821446195080092,0.25064397373142233,0.9905169435753408,0.5759052075890645,0.8181323735858873,0.07188529987077978,0.976307333776055,0.7848871942454329,1.3310375751559502,0.19084642944151112,0.9572029976847289
bspline_q_knot21,centered_ma21,s5_freestyle1,1656,0.9094373898346602,0.70463638142472,0.9928155791582998,0.9925400754955526,0.2923318570685732,0.9094373898346602,0.8139170252874003,2.6045012342787084,0.4592959287623372,0.678904252204604,0.21167232900369556,0.9954610142950173,0.40297197502424154,0.5938250580623295,0.061082155356854885,0.987894268803662,0.5259890407988164,0.8221910403536083,0.17353236133896055,0.9846993215910802
bspline_q_knot21,lowpass_5hz,s5_freestyle1,1656,1.0180497027384525,0.7579534555324663,0.9917340991854562,0.9914401747301856,0.34610063110471456,1.0180497027384525,0.8288878844662698,2.678417108442919,0.5386179238209132,0.7686145578203953,0.21008636068737196,0.9942308655094597,0.4326635382163079,0.6148533478483016,0.06177585127200776,0.9867536269506808,0.580008638418698,0.8687159169758046,0.1781855794670879,0.9825520427166972
bspline_q_knot30,centered_ma21,s5_freestyle1,1656,1.0069918964486197,0.7648157624387264,0.9914861070292597,0.991238426012498,0.35160959429817024,1.0069918964486197,0.8606955163767288,2.6542643065092304,0.5576022616976509,0.8075872475889921,0.2112981791621287,0.9933567567642239,0.44670034004502135,0.6499282851469999,0.059340266695044504,0.9855621031805868,0.5398668614318083,0.8247578512034348,0.16462370956530017,0.9845207519493584
bspline_q_knot30,lowpass_5hz,s5_freestyle1,1656,0.8870714204229072,0.6625766090200479,0.9937534832704921,0.9934674080135801,0.2768624373467751,0.8870714204229072,0.7280986083837834,2.314682986923808,0.44569208391645143,0.6464632408328811,0.2097122108458051,0.9960659724756536,0.4332317597813289,0.6036744330253617,0.06003396261019738,0.9873668443838866,0.4832339796680813,0.7312220904929448,0.16927692769342753,0.987834899709721
raw_q,centered_ma21,s5_freestyle1,1656,1.5715512857719525,1.1123699821400763,0.9818498404887631,0.9817021309474114,0.601189329562176,1.5715512857719525,1.1145974554463438,3.650422277419919,0.7977891606554818,1.1113073354150287,0.21203220727837518,0.9870384083969492,0.8118500767381587,1.1426391852381044,0.05029629448577758,0.9563561872747043,0.7699843828627814,1.0823458920835292,0.15492202252803927,0.9731004605962409
raw_q,lowpass_5hz,s5_freestyle1,1656,1.2153849636125738,0.8438736742896427,0.9897354156038388,0.9895172088501335,0.3577431629559138,1.2153849636125738,0.8119160823027023,2.744184362603805,0.5376697649447031,0.7404670035018964,0.21044623896205158,0.994614585582918,0.6538598436778855,0.9047679461055695,0.050989990400930454,0.9729886282022933,0.6251151613061033,0.8771954827187252,0.15957524065616663,0.9825386846871667
