mode,sequence_id,joint_id,joint_name,mean_pose_delta_deg,max_pose_delta_deg,lower_body_pose_delta_deg,mean_trans_delta,max_trans_delta
A,s5_freestyle1,ALL,ALL,0.0,0.0,0.0,0.0006280365050770342,0.0013063636142760515
A,s5_freestyle1,0,joint_0,0.0,0.0,0.0,,
A,s5_freestyle1,1,joint_1,0.0,0.0,0.0,,
A,s5_freestyle1,2,joint_2,0.0,0.0,0.0,,
A,s5_freestyle1,3,joint_3,0.0,0.0,0.0,,
A,s5_freestyle1,4,joint_4,0.0,0.0,0.0,,
A,s5_freestyle1,5,joint_5,0.0,0.0,0.0,,
A,s5_freestyle1,6,joint_6,0.0,0.0,0.0,,
A,s5_freestyle1,7,joint_7,0.0,0.0,0.0,,
A,s5_freestyle1,8,joint_8,0.0,0.0,0.0,,
A,s5_freestyle1,9,joint_9,0.0,0.0,0.0,,
A,s5_freestyle1,10,joint_10,0.0,0.0,0.0,,
A,s5_freestyle1,11,joint_11,0.0,0.0,0.0,,
A,s5_freestyle1,12,joint_12,0.0,0.0,0.0,,
A,s5_freestyle1,13,joint_13,0.0,0.0,0.0,,
A,s5_freestyle1,14,joint_14,0.0,0.0,0.0,,
A,s5_freestyle1,15,joint_15,0.0,0.0,0.0,,
A,s5_freestyle1,16,joint_16,0.0,0.0,0.0,,
A,s5_freestyle1,17,joint_17,0.0,0.0,0.0,,
A,s5_freestyle1,18,joint_18,0.0,0.0,0.0,,
A,s5_freestyle1,19,joint_19,0.0,0.0,0.0,,
A,s5_freestyle1,20,joint_20,0.0,0.0,0.0,,
A,s5_freestyle1,21,joint_21,0.0,0.0,0.0,,
A,s5_freestyle1,22,joint_22,0.0,0.0,0.0,,
A,s5_freestyle1,23,joint_23,0.0,0.0,0.0,,
B,s5_freestyle1,ALL,ALL,0.012317544780671597,0.10421708226203918,0.04263286292552948,0.0006643328233622015,0.0012020192807540298
B,s5_freestyle1,0,joint_0,0.03982390835881233,0.0807248204946518,0.0,,
B,s5_freestyle1,1,joint_1,0.03770820423960686,0.06420659273862839,0.03770820423960686,,
B,s5_freestyle1,2,joint_2,0.04786115512251854,0.07222361862659454,0.04786115512251854,,
B,s5_freestyle1,3,joint_3,0.0,0.0,0.0,,
B,s5_freestyle1,4,joint_4,0.039878588169813156,0.06368526816368103,0.039878588169813156,,
B,s5_freestyle1,5,joint_5,0.047574568539857864,0.10421708226203918,0.047574568539857864,,
B,s5_freestyle1,6,joint_6,0.0,0.0,0.0,,
B,s5_freestyle1,7,joint_7,0.04019300639629364,0.07996626198291779,0.04019300639629364,,
B,s5_freestyle1,8,joint_8,0.04258166253566742,0.08584261685609818,0.04258166253566742,,
B,s5_freestyle1,9,joint_9,0.0,0.0,0.0,,
B,s5_freestyle1,10,joint_10,0.0,0.0,0.0,,
B,s5_freestyle1,11,joint_11,0.0,0.0,0.0,,
B,s5_freestyle1,12,joint_12,0.0,0.0,0.0,,
B,s5_freestyle1,13,joint_13,0.0,0.0,0.0,,
B,s5_freestyle1,14,joint_14,0.0,0.0,0.0,,
B,s5_freestyle1,15,joint_15,0.0,0.0,0.0,,
B,s5_freestyle1,16,joint_16,0.0,0.0,0.0,,
B,s5_freestyle1,17,joint_17,0.0,0.0,0.0,,
B,s5_freestyle1,18,joint_18,0.0,0.0,0.0,,
B,s5_freestyle1,19,joint_19,0.0,0.0,0.0,,
B,s5_freestyle1,20,joint_20,0.0,0.0,0.0,,
B,s5_freestyle1,21,joint_21,0.0,0.0,0.0,,
B,s5_freestyle1,22,joint_22,0.0,0.0,0.0,,
B,s5_freestyle1,23,joint_23,0.0,0.0,0.0,,
C,s5_freestyle1,ALL,ALL,0.012317544780671597,0.10421708226203918,0.04263286292552948,0.0006643328233622015,0.0012020192807540298
C,s5_freestyle1,0,joint_0,0.03982390835881233,0.0807248204946518,0.0,,
C,s5_freestyle1,1,joint_1,0.03770820423960686,0.06420659273862839,0.03770820423960686,,
C,s5_freestyle1,2,joint_2,0.04786115512251854,0.07222361862659454,0.04786115512251854,,
C,s5_freestyle1,3,joint_3,0.0,0.0,0.0,,
C,s5_freestyle1,4,joint_4,0.039878588169813156,0.06368526816368103,0.039878588169813156,,
C,s5_freestyle1,5,joint_5,0.047574568539857864,0.10421708226203918,0.047574568539857864,,
C,s5_freestyle1,6,joint_6,0.0,0.0,0.0,,
C,s5_freestyle1,7,joint_7,0.04019300639629364,0.07996626198291779,0.04019300639629364,,
C,s5_freestyle1,8,joint_8,0.04258166253566742,0.08584261685609818,0.04258166253566742,,
C,s5_freestyle1,9,joint_9,0.0,0.0,0.0,,
C,s5_freestyle1,10,joint_10,0.0,0.0,0.0,,
C,s5_freestyle1,11,joint_11,0.0,0.0,0.0,,
C,s5_freestyle1,12,joint_12,0.0,0.0,0.0,,
C,s5_freestyle1,13,joint_13,0.0,0.0,0.0,,
C,s5_freestyle1,14,joint_14,0.0,0.0,0.0,,
C,s5_freestyle1,15,joint_15,0.0,0.0,0.0,,
C,s5_freestyle1,16,joint_16,0.0,0.0,0.0,,
C,s5_freestyle1,17,joint_17,0.0,0.0,0.0,,
C,s5_freestyle1,18,joint_18,0.0,0.0,0.0,,
C,s5_freestyle1,19,joint_19,0.0,0.0,0.0,,
C,s5_freestyle1,20,joint_20,0.0,0.0,0.0,,
C,s5_freestyle1,21,joint_21,0.0,0.0,0.0,,
C,s5_freestyle1,22,joint_22,0.0,0.0,0.0,,
C,s5_freestyle1,23,joint_23,0.0,0.0,0.0,,
