mode,sequence_id,signal_filter,sensor_id,sensor_name,sensor_group,variant,acc_rmse,acc_mean_norm
A,s5_freestyle1,raw,0,left_forearm,fit,original,0.7874869418961845,1.1516751230958924
A,s5_freestyle1,raw,0,left_forearm,fit,refined,1.7885136467788687,2.9010065562234835
A,s5_freestyle1,raw,0,left_forearm,fit,delta,1.0010267048826842,1.749331433127591
A,s5_freestyle1,raw,1,right_forearm,fit,original,1.4505914541617404,2.3271041254522045
A,s5_freestyle1,raw,1,right_forearm,fit,refined,2.1775241414476834,3.5630532335753045
A,s5_freestyle1,raw,1,right_forearm,fit,delta,0.726932687285943,1.2359491081231
A,s5_freestyle1,raw,2,left_lower_leg,heldout,original,1.2281576787881163,1.4703286112828067
A,s5_freestyle1,raw,2,left_lower_leg,heldout,refined,1.9814294493517226,3.028159520434424
A,s5_freestyle1,raw,2,left_lower_leg,heldout,delta,0.7532717705636063,1.5578309091516174
A,s5_freestyle1,raw,3,right_lower_leg,heldout,original,4.303043520672418,2.843391112197369
A,s5_freestyle1,raw,3,right_lower_leg,heldout,refined,4.467585027592579,4.202818202926121
A,s5_freestyle1,raw,3,right_lower_leg,heldout,delta,0.16454150692016078,1.3594270907287518
A,s5_freestyle1,raw,4,head,fit,original,0.920007679540257,1.1133066474616264
A,s5_freestyle1,raw,4,head,fit,refined,1.8253669148125309,2.910223966839685
A,s5_freestyle1,raw,4,head,fit,delta,0.9053592352722739,1.7969173193780585
A,s5_freestyle1,raw,5,pelvis,other,original,1.0947857282945996,1.2288844176942948
A,s5_freestyle1,raw,5,pelvis,other,refined,1.873239456951529,2.9353521667943157
A,s5_freestyle1,raw,5,pelvis,other,delta,0.7784537286569293,1.7064677491000209
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,original,0.5605132233318629,0.7838144846177794
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,refined,0.6506559818297992,0.9349601976182796
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,delta,0.09014275849793629,0.15114571300050028
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,original,1.2735571726483184,2.0913177763560946
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,refined,1.296629861869145,2.153194934679158
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,delta,0.023072689220826614,0.06187715832306351
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,original,0.5706900772412938,0.6791967423479064
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,refined,0.7202365256740818,0.8982950482792823
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,delta,0.14954644843278797,0.21909830593137591
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,original,3.804730549865979,2.095233387040339
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,refined,3.8380756666863927,2.2743049272759253
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,delta,0.03334511682041352,0.17907154023558647
A,s5_freestyle1,savgol9_p3,4,head,fit,original,0.7686655471680292,0.8039433247939141
A,s5_freestyle1,savgol9_p3,4,head,fit,refined,0.8566394381163864,0.9960500630779435
A,s5_freestyle1,savgol9_p3,4,head,fit,delta,0.08797389094835728,0.19210673828402947
A,s5_freestyle1,savgol9_p3,5,pelvis,other,original,0.9134486067135058,0.9655654030507426
A,s5_freestyle1,savgol9_p3,5,pelvis,other,refined,0.9751929671285755,1.1654281740185435
A,s5_freestyle1,savgol9_p3,5,pelvis,other,delta,0.0617443604150697,0.19986277096780092
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,original,0.44467432855706346,0.6460886444848223
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,refined,0.4691576380877135,0.6967961756739857
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,delta,0.024483309530650033,0.05070753118916338
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,original,1.2350697169305127,2.053190086318538
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,refined,1.22762289502732,2.074142669201558
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,delta,-0.00744682190319268,0.020952582883019932
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,original,0.508910492678653,0.5435255964559254
