mode,sequence_id,signal_filter,sensor_id,sensor_name,sensor_group,variant,acc_rmse,acc_mean_norm
A,s5_freestyle1,raw,0,left_forearm,fit,original,0.7874869418961845,1.1516751230958924
A,s5_freestyle1,raw,0,left_forearm,fit,refined,0.8083809618580512,1.185009225279737
A,s5_freestyle1,raw,0,left_forearm,fit,delta,0.020894019961866683,0.033334102183844694
A,s5_freestyle1,raw,1,right_forearm,fit,original,1.4505914541617404,2.3271041254522045
A,s5_freestyle1,raw,1,right_forearm,fit,refined,1.459422625051948,2.3439151185847096
A,s5_freestyle1,raw,1,right_forearm,fit,delta,0.008831170890207574,0.016810993132505114
A,s5_freestyle1,raw,2,left_lower_leg,heldout,original,1.2281576787881163,1.4703286112828067
A,s5_freestyle1,raw,2,left_lower_leg,heldout,refined,1.2377420578160094,1.5100948966591954
A,s5_freestyle1,raw,2,left_lower_leg,heldout,delta,0.009584379027893108,0.03976628537638871
A,s5_freestyle1,raw,3,right_lower_leg,heldout,original,4.303043520672418,2.843391112197369
A,s5_freestyle1,raw,3,right_lower_leg,heldout,refined,4.2986652569795725,2.881165338597129
A,s5_freestyle1,raw,3,right_lower_leg,heldout,delta,-0.00437826369284533,0.037774226399760025
A,s5_freestyle1,raw,4,head,fit,original,0.920007679540257,1.1133066474616264
A,s5_freestyle1,raw,4,head,fit,refined,0.9285641097906566,1.147129839875043
A,s5_freestyle1,raw,4,head,fit,delta,0.00855643025039965,0.03382319241341647
A,s5_freestyle1,raw,5,pelvis,other,original,1.0947857282945996,1.2288844176942948
A,s5_freestyle1,raw,5,pelvis,other,refined,1.1048873621302895,1.2634241238895854
A,s5_freestyle1,raw,5,pelvis,other,delta,0.01010163383568985,0.034539706195290565
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,original,0.5605132233318629,0.7838144846177794
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,refined,0.5637837850791299,0.7882344693906229
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,delta,0.00327056174726692,0.004419984772843555
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,original,1.2735571726483184,2.0913177763560946
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,refined,1.2752862570773404,2.093506991686604
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,delta,0.0017290844290220875,0.0021892153305094197
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,original,0.5706900772412938,0.6791967423479064
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,refined,0.5738176095763516,0.68561782102247
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,delta,0.0031275323350578033,0.006421078674563652
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,original,3.804730549865979,2.095233387040339
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,refined,3.8056801181558337,2.0984725544052765
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,delta,0.0009495682898545965,0.0032391673649376784
A,s5_freestyle1,savgol9_p3,4,head,fit,original,0.7686655471680292,0.8039433247939141
A,s5_freestyle1,savgol9_p3,4,head,fit,refined,0.7670394178589967,0.8014557384460215
A,s5_freestyle1,savgol9_p3,4,head,fit,delta,-0.001626129309032498,-0.0024875863478925897
A,s5_freestyle1,savgol9_p3,5,pelvis,other,original,0.9134486067135058,0.9655654030507426
A,s5_freestyle1,savgol9_p3,5,pelvis,other,refined,0.9141217607956148,0.9689106645388328
A,s5_freestyle1,savgol9_p3,5,pelvis,other,delta,0.0006731540821089954,0.003345261488090223
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,original,0.44467432855706346,0.6460886444848223
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,refined,0.4481345556861931,0.6509820080856861
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,delta,0.003460227129129634,0.004893363600863787
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,original,1.2350697169305127,2.053190086318538
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,refined,1.235878620526248,2.0546754442126427
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,delta,0.0008089035957352664,0.0014853578941047552
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,original,0.508910492678653,0.5435255964559254
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,refined,0.5129491537635542,0.5481257407965696
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,delta,0.004038661084901252,0.004600144340644263
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,original,3.2011255676385884,1.9943174051701533
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,refined,3.202030575118332,1.99526088547112
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,delta,0.0009050074797434249,0.0009434803009666926
A,s5_freestyle1,savgol15_p3,4,head,fit,original,0.48438566631749785,0.5562501231912587
A,s5_freestyle1,savgol15_p3,4,head,fit,refined,0.4856308169119684,0.5556167526375239
A,s5_freestyle1,savgol15_p3,4,head,fit,delta,0.0012451505944705565,-0.0006333705537348022
A,s5_freestyle1,savgol15_p3,5,pelvis,other,original,0.5748573357526444,0.6956962168686017
A,s5_freestyle1,savgol15_p3,5,pelvis,other,refined,0.5772161266339424,0.6987334215719745
A,s5_freestyle1,savgol15_p3,5,pelvis,other,delta,0.0023587908812979785,0.0030372047033727645
