mode,iterations,lr,acc_weight,pose_prior_label,pose_prior_weight,tran_prior_label,tran_prior_weight,jerk_weight,loss,fit_preset,fit_sensors,heldout_sensors,config_id,output_dir,command,returncode,signal_filter,original_fit_acc_rmse,refined_fit_acc_rmse,fit_delta,original_heldout_rmse,refined_heldout_rmse,heldout_delta,gyro_delta,jerk_delta,pose_mean_deg,pose_max_deg,trans_mean_m,trans_max_m,foot_sliding_delta,verdict,fail_reasons
A,20,0.0001,0.1,high,500.0,high,5000.0,10.0,huber,forearms_head,"left_forearm,right_forearm,head","left_lower_leg,right_lower_leg",0000_A_forearms_head_it20_lr0.0001_acc0.1_huber_j10.0_high_high,code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0000_A_forearms_head_it20_lr0.0001_acc0.1_huber_j10.0_high_high,"/miniconda3/bin/python /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/tools/refine_totalcapture_pose_with_imu_acc_consistency.py --dataset /home/lingfeng/projects/GlobalposeMy/GlobalPose/data/dataset_work/TotalCapture_globalpose_official/test.pt --rjs-path /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/outputs/totalcapture_accfit_rjs_synthesis_20260704_171103/rjs_accfit_global.pt --mode A --max-sequences 1 --max-frames 180 --iterations 20 --lr 0.0001 --robust-loss huber --lambda-acc 0.1 --lambda-pose 500.0 --lambda-tran 5000.0 --lambda-jerk 10.0 --fit-sensors left_forearm,right_forearm,head --output-dir code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0000_A_forearms_head_it20_lr0.0001_acc0.1_huber_j10.0_high_high --device cpu --heldout-sensors left_lower_leg,right_lower_leg",0,raw,0.9512280194770537,0.9598372444514022,0.008609224974348462,1.648661169272499,1.651773946012837,0.0031127767403378304,0.0,0.001220703125,0.0,0.0,0.0002740199270192534,0.0005909462925046682,0.0002587437629699707,fail,fit_not_improved|heldout_regressed|jerk_regressed|foot_sliding_regressed
A,20,0.0001,0.1,high,500.0,high,5000.0,10.0,huber,forearms_head,"left_forearm,right_forearm,head","left_lower_leg,right_lower_leg",0000_A_forearms_head_it20_lr0.0001_acc0.1_huber_j10.0_high_high,code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0000_A_forearms_head_it20_lr0.0001_acc0.1_huber_j10.0_high_high,"/miniconda3/bin/python /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/tools/refine_totalcapture_pose_with_imu_acc_consistency.py --dataset /home/lingfeng/projects/GlobalposeMy/GlobalPose/data/dataset_work/TotalCapture_globalpose_official/test.pt --rjs-path /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/outputs/totalcapture_accfit_rjs_synthesis_20260704_171103/rjs_accfit_global.pt --mode A --max-sequences 1 --max-frames 180 --iterations 20 --lr 0.0001 --robust-loss huber --lambda-acc 0.1 --lambda-pose 500.0 --lambda-tran 5000.0 --lambda-jerk 10.0 --fit-sensors left_forearm,right_forearm,head --output-dir code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0000_A_forearms_head_it20_lr0.0001_acc0.1_huber_j10.0_high_high --device cpu --heldout-sensors left_lower_leg,right_lower_leg",0,savgol9_p3,0.7988106160468809,0.8004818976363272,0.001671281589446294,1.3397794030352892,1.3405167349007618,0.0007373318654726457,0.0,0.001220703125,0.0,0.0,0.0002740199270192534,0.0005909462925046682,0.0002587437629699707,fail,fit_not_improved|heldout_regressed|jerk_regressed|foot_sliding_regressed
A,20,0.0001,0.1,high,500.0,high,5000.0,10.0,huber,forearms_head,"left_forearm,right_forearm,head","left_lower_leg,right_lower_leg",0000_A_forearms_head_it20_lr0.0001_acc0.1_huber_j10.0_high_high,code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0000_A_forearms_head_it20_lr0.0001_acc0.1_huber_j10.0_high_high,"/miniconda3/bin/python /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/tools/refine_totalcapture_pose_with_imu_acc_consistency.py --dataset /home/lingfeng/projects/GlobalposeMy/GlobalPose/data/dataset_work/TotalCapture_globalpose_official/test.pt --rjs-path /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/outputs/totalcapture_accfit_rjs_synthesis_20260704_171103/rjs_accfit_global.pt --mode A --max-sequences 1 --max-frames 180 --iterations 20 --lr 0.0001 --robust-loss huber --lambda-acc 0.1 --lambda-pose 500.0 --lambda-tran 5000.0 --lambda-jerk 10.0 --fit-sensors left_forearm,right_forearm,head --output-dir code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0000_A_forearms_head_it20_lr0.0001_acc0.1_huber_j10.0_high_high --device cpu --heldout-sensors left_lower_leg,right_lower_leg",0,savgol15_p3,0.7561172944231443,0.7576628081693626,0.0015455137462182522,1.1253904859356014,1.126519948585994,0.0011294626503925986,0.0,0.001220703125,0.0,0.0,0.0002740199270192534,0.0005909462925046682,0.0002587437629699707,fail,fit_not_improved|heldout_regressed|jerk_regressed|foot_sliding_regressed
A,20,0.0001,0.3,high,500.0,high,5000.0,10.0,huber,forearms_head,"left_forearm,right_forearm,head","left_lower_leg,right_lower_leg",0001_A_forearms_head_it20_lr0.0001_acc0.3_huber_j10.0_high_high,code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0001_A_forearms_head_it20_lr0.0001_acc0.3_huber_j10.0_high_high,"/miniconda3/bin/python /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/tools/refine_totalcapture_pose_with_imu_acc_consistency.py --dataset /home/lingfeng/projects/GlobalposeMy/GlobalPose/data/dataset_work/TotalCapture_globalpose_official/test.pt --rjs-path /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/outputs/totalcapture_accfit_rjs_synthesis_20260704_171103/rjs_accfit_global.pt --mode A --max-sequences 1 --max-frames 180 --iterations 20 --lr 0.0001 --robust-loss huber --lambda-acc 0.3 --lambda-pose 500.0 --lambda-tran 5000.0 --lambda-jerk 10.0 --fit-sensors left_forearm,right_forearm,head --output-dir code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0001_A_forearms_head_it20_lr0.0001_acc0.3_huber_j10.0_high_high --device cpu --heldout-sensors left_lower_leg,right_lower_leg",0,raw,0.9512280194770537,0.9598378790320702,0.008609859555016475,1.648661169272499,1.651774943462779,0.0031137741902800276,0.0,0.001220703125,0.0,0.0,0.0002739689371082932,0.0005907652084715664,0.0002587437629699707,fail,fit_not_improved|heldout_regressed|jerk_regressed|foot_sliding_regressed
A,20,0.0001,0.3,high,500.0,high,5000.0,10.0,huber,forearms_head,"left_forearm,right_forearm,head","left_lower_leg,right_lower_leg",0001_A_forearms_head_it20_lr0.0001_acc0.3_huber_j10.0_high_high,code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0001_A_forearms_head_it20_lr0.0001_acc0.3_huber_j10.0_high_high,"/miniconda3/bin/python /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/tools/refine_totalcapture_pose_with_imu_acc_consistency.py --dataset /home/lingfeng/projects/GlobalposeMy/GlobalPose/data/dataset_work/TotalCapture_globalpose_official/test.pt --rjs-path /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/outputs/totalcapture_accfit_rjs_synthesis_20260704_171103/rjs_accfit_global.pt --mode A --max-sequences 1 --max-frames 180 --iterations 20 --lr 0.0001 --robust-loss huber --lambda-acc 0.3 --lambda-pose 500.0 --lambda-tran 5000.0 --lambda-jerk 10.0 --fit-sensors left_forearm,right_forearm,head --output-dir code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0001_A_forearms_head_it20_lr0.0001_acc0.3_huber_j10.0_high_high --device cpu --heldout-sensors left_lower_leg,right_lower_leg",0,savgol9_p3,0.7988106160468809,0.8004828812552951,0.0016722652084142364,1.3397794030352892,1.3405163158340527,0.0007369127987635338,0.0,0.001220703125,0.0,0.0,0.0002739689371082932,0.0005907652084715664,0.0002587437629699707,fail,fit_not_improved|heldout_regressed|jerk_regressed|foot_sliding_regressed
A,20,0.0001,0.3,high,500.0,high,5000.0,10.0,huber,forearms_head,"left_forearm,right_forearm,head","left_lower_leg,right_lower_leg",0001_A_forearms_head_it20_lr0.0001_acc0.3_huber_j10.0_high_high,code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0001_A_forearms_head_it20_lr0.0001_acc0.3_huber_j10.0_high_high,"/miniconda3/bin/python /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/tools/refine_totalcapture_pose_with_imu_acc_consistency.py --dataset /home/lingfeng/projects/GlobalposeMy/GlobalPose/data/dataset_work/TotalCapture_globalpose_official/test.pt --rjs-path /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/outputs/totalcapture_accfit_rjs_synthesis_20260704_171103/rjs_accfit_global.pt --mode A --max-sequences 1 --max-frames 180 --iterations 20 --lr 0.0001 --robust-loss huber --lambda-acc 0.3 --lambda-pose 500.0 --lambda-tran 5000.0 --lambda-jerk 10.0 --fit-sensors left_forearm,right_forearm,head --output-dir code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0001_A_forearms_head_it20_lr0.0001_acc0.3_huber_j10.0_high_high --device cpu --heldout-sensors left_lower_leg,right_lower_leg",0,savgol15_p3,0.7561172944231443,0.7576632978881995,0.001546003465055179,1.1253904859356014,1.1265196577476635,0.0011291718120620686,0.0,0.001220703125,0.0,0.0,0.0002739689371082932,0.0005907652084715664,0.0002587437629699707,fail,fit_not_improved|heldout_regressed|jerk_regressed|foot_sliding_regressed
A,20,0.0003,0.1,high,500.0,high,5000.0,10.0,huber,forearms_head,"left_forearm,right_forearm,head","left_lower_leg,right_lower_leg",0002_A_forearms_head_it20_lr0.0003_acc0.1_huber_j10.0_high_high,code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0002_A_forearms_head_it20_lr0.0003_acc0.1_huber_j10.0_high_high,"/miniconda3/bin/python /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/tools/refine_totalcapture_pose_with_imu_acc_consistency.py --dataset /home/lingfeng/projects/GlobalposeMy/GlobalPose/data/dataset_work/TotalCapture_globalpose_official/test.pt --rjs-path /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/outputs/totalcapture_accfit_rjs_synthesis_20260704_171103/rjs_accfit_global.pt --mode A --max-sequences 1 --max-frames 180 --iterations 20 --lr 0.0003 --robust-loss huber --lambda-acc 0.1 --lambda-pose 500.0 --lambda-tran 5000.0 --lambda-jerk 10.0 --fit-sensors left_forearm,right_forearm,head --output-dir code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0002_A_forearms_head_it20_lr0.0003_acc0.1_huber_j10.0_high_high --device cpu --heldout-sensors left_lower_leg,right_lower_leg",0,raw,0.9512280194770537,1.0079573768144587,0.05672935733740503,1.648661169272499,1.6789246630917072,0.03026349381920812,0.0,0.00885009765625,0.0,0.0,0.0006165587692521513,0.001205243868753314,0.0007104352116584778,fail,fit_not_improved|heldout_regressed|jerk_regressed|foot_sliding_regressed
A,20,0.0003,0.1,high,500.0,high,5000.0,10.0,huber,forearms_head,"left_forearm,right_forearm,head","left_lower_leg,right_lower_leg",0002_A_forearms_head_it20_lr0.0003_acc0.1_huber_j10.0_high_high,code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0002_A_forearms_head_it20_lr0.0003_acc0.1_huber_j10.0_high_high,"/miniconda3/bin/python /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/tools/refine_totalcapture_pose_with_imu_acc_consistency.py --dataset /home/lingfeng/projects/GlobalposeMy/GlobalPose/data/dataset_work/TotalCapture_globalpose_official/test.pt --rjs-path /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/outputs/totalcapture_accfit_rjs_synthesis_20260704_171103/rjs_accfit_global.pt --mode A --max-sequences 1 --max-frames 180 --iterations 20 --lr 0.0003 --robust-loss huber --lambda-acc 0.1 --lambda-pose 500.0 --lambda-tran 5000.0 --lambda-jerk 10.0 --fit-sensors left_forearm,right_forearm,head --output-dir code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0002_A_forearms_head_it20_lr0.0003_acc0.1_huber_j10.0_high_high --device cpu --heldout-sensors left_lower_leg,right_lower_leg",0,savgol9_p3,0.7988106160468809,0.8039481650584576,0.005137549011576703,1.3397794030352892,1.3436263169999783,0.0038469139646890582,0.0,0.00885009765625,0.0,0.0,0.0006165587692521513,0.001205243868753314,0.0007104352116584778,fail,fit_not_improved|heldout_regressed|jerk_regressed|foot_sliding_regressed
A,20,0.0003,0.1,high,500.0,high,5000.0,10.0,huber,forearms_head,"left_forearm,right_forearm,head","left_lower_leg,right_lower_leg",0002_A_forearms_head_it20_lr0.0003_acc0.1_huber_j10.0_high_high,code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0002_A_forearms_head_it20_lr0.0003_acc0.1_huber_j10.0_high_high,"/miniconda3/bin/python /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/tools/refine_totalcapture_pose_with_imu_acc_consistency.py --dataset /home/lingfeng/projects/GlobalposeMy/GlobalPose/data/dataset_work/TotalCapture_globalpose_official/test.pt --rjs-path /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/outputs/totalcapture_accfit_rjs_synthesis_20260704_171103/rjs_accfit_global.pt --mode A --max-sequences 1 --max-frames 180 --iterations 20 --lr 0.0003 --robust-loss huber --lambda-acc 0.1 --lambda-pose 500.0 --lambda-tran 5000.0 --lambda-jerk 10.0 --fit-sensors left_forearm,right_forearm,head --output-dir code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0002_A_forearms_head_it20_lr0.0003_acc0.1_huber_j10.0_high_high --device cpu --heldout-sensors left_lower_leg,right_lower_leg",0,savgol15_p3,0.7561172944231443,0.7592665817628513,0.0031492873397069854,1.1253904859356014,1.1289189385366696,0.003528452601068155,0.0,0.00885009765625,0.0,0.0,0.0006165587692521513,0.001205243868753314,0.0007104352116584778,fail,fit_not_improved|heldout_regressed|jerk_regressed|foot_sliding_regressed
A,20,0.0003,0.3,high,500.0,high,5000.0,10.0,huber,forearms_head,"left_forearm,right_forearm,head","left_lower_leg,right_lower_leg",0003_A_forearms_head_it20_lr0.0003_acc0.3_huber_j10.0_high_high,code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0003_A_forearms_head_it20_lr0.0003_acc0.3_huber_j10.0_high_high,"/miniconda3/bin/python /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/tools/refine_totalcapture_pose_with_imu_acc_consistency.py --dataset /home/lingfeng/projects/GlobalposeMy/GlobalPose/data/dataset_work/TotalCapture_globalpose_official/test.pt --rjs-path /home/lingfeng/projects/GlobalposeMy/GlobalPose/code/outputs/totalcapture_accfit_rjs_synthesis_20260704_171103/rjs_accfit_global.pt --mode A --max-sequences 1 --max-frames 180 --iterations 20 --lr 0.0003 --robust-loss huber --lambda-acc 0.3 --lambda-pose 500.0 --lambda-tran 5000.0 --lambda-jerk 10.0 --fit-sensors left_forearm,right_forearm,head --output-dir code/outputs/totalcapture_pose_refinement_tuning_sweep_stage1_180f/per_config_summary/0003_A_forearms_head_it20_lr0.0003_acc0.3_huber_j10.0_high_high --device cpu --heldout-sensors left_lower_leg,right_lower_leg",0,raw,0.9512280194770537,1.0079606555258216,0.05673263604876788,1.648661169272499,1.678922778316029,0.030261609043529925,0.0,0.00885009765625,0.0,0.0,0.0006165283266454935,0.0012052577221766114,0.0007103681564331055,fail,fit_not_improved|heldout_regressed|jerk_regressed|foot_sliding_regressed
