mode,sequence_id,joint_id,joint_name,mean_pose_delta_deg,max_pose_delta_deg,lower_body_pose_delta_deg,mean_trans_delta,max_trans_delta
A,s5_freestyle1,ALL,ALL,0.0,0.0,0.0,0.0012573642889037728,0.00277164694853127
A,s5_freestyle1,0,joint_0,0.0,0.0,0.0,,
A,s5_freestyle1,1,joint_1,0.0,0.0,0.0,,
A,s5_freestyle1,2,joint_2,0.0,0.0,0.0,,
A,s5_freestyle1,3,joint_3,0.0,0.0,0.0,,
A,s5_freestyle1,4,joint_4,0.0,0.0,0.0,,
A,s5_freestyle1,5,joint_5,0.0,0.0,0.0,,
A,s5_freestyle1,6,joint_6,0.0,0.0,0.0,,
A,s5_freestyle1,7,joint_7,0.0,0.0,0.0,,
A,s5_freestyle1,8,joint_8,0.0,0.0,0.0,,
A,s5_freestyle1,9,joint_9,0.0,0.0,0.0,,
A,s5_freestyle1,10,joint_10,0.0,0.0,0.0,,
A,s5_freestyle1,11,joint_11,0.0,0.0,0.0,,
A,s5_freestyle1,12,joint_12,0.0,0.0,0.0,,
A,s5_freestyle1,13,joint_13,0.0,0.0,0.0,,
A,s5_freestyle1,14,joint_14,0.0,0.0,0.0,,
A,s5_freestyle1,15,joint_15,0.0,0.0,0.0,,
A,s5_freestyle1,16,joint_16,0.0,0.0,0.0,,
A,s5_freestyle1,17,joint_17,0.0,0.0,0.0,,
A,s5_freestyle1,18,joint_18,0.0,0.0,0.0,,
A,s5_freestyle1,19,joint_19,0.0,0.0,0.0,,
A,s5_freestyle1,20,joint_20,0.0,0.0,0.0,,
A,s5_freestyle1,21,joint_21,0.0,0.0,0.0,,
A,s5_freestyle1,22,joint_22,0.0,0.0,0.0,,
A,s5_freestyle1,23,joint_23,0.0,0.0,0.0,,
