mode,sequence_id,signal_filter,sensor_id,sensor_name,sensor_group,variant,acc_rmse,acc_mean_norm
A,s5_freestyle1,raw,0,left_forearm,fit,original,0.7285780767168946,1.0734640949888494
A,s5_freestyle1,raw,0,left_forearm,fit,refined,1.308275511633102,2.099872345414637
A,s5_freestyle1,raw,0,left_forearm,fit,delta,0.5796974349162074,1.0264082504257874
A,s5_freestyle1,raw,1,right_forearm,fit,original,1.32666954591837,2.179676333057444
A,s5_freestyle1,raw,1,right_forearm,fit,refined,1.7335721685535521,2.8219071096831025
A,s5_freestyle1,raw,1,right_forearm,fit,delta,0.4069026226351822,0.6422307766256585
A,s5_freestyle1,raw,2,left_lower_leg,heldout,original,0.8732976523636198,1.1091662251028516
A,s5_freestyle1,raw,2,left_lower_leg,heldout,refined,1.415581290024447,2.223128570191828
A,s5_freestyle1,raw,2,left_lower_leg,heldout,delta,0.5422836376608273,1.1139623450889764
A,s5_freestyle1,raw,3,right_lower_leg,heldout,original,2.161832211923515,1.4000896514897203
A,s5_freestyle1,raw,3,right_lower_leg,heldout,refined,2.4080537133489894,2.506649542568447
A,s5_freestyle1,raw,3,right_lower_leg,heldout,delta,0.24622150142547428,1.1065598910787267
A,s5_freestyle1,raw,4,head,fit,original,0.6508656828985311,0.8661472506966469
A,s5_freestyle1,raw,4,head,fit,refined,1.263541518597797,2.0600913828007252
A,s5_freestyle1,raw,4,head,fit,delta,0.6126758356992659,1.1939441321040785
A,s5_freestyle1,raw,5,pelvis,other,original,0.701010784320224,0.8569441042559021
A,s5_freestyle1,raw,5,pelvis,other,refined,1.3158483661500873,2.1066987070066014
A,s5_freestyle1,raw,5,pelvis,other,delta,0.6148375818298633,1.2497546027506994
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,original,0.4541609273423667,0.6847617214513905
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,refined,0.508205565886889,0.7592457201846095
A,s5_freestyle1,savgol9_p3,0,left_forearm,fit,delta,0.05404463854452235,0.07448399873321898
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,original,1.2125864003869156,2.0323793520941518
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,refined,1.2357183324692926,2.063486160707004
A,s5_freestyle1,savgol9_p3,1,right_forearm,fit,delta,0.02313193208237707,0.031106808612852088
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,original,0.3754188981081268,0.48678800135042316
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,refined,0.43359057281148516,0.621511140375609
A,s5_freestyle1,savgol9_p3,2,left_lower_leg,heldout,delta,0.05817167470335838,0.1347231390251858
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,original,1.8571694452953054,0.8226847089152577
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,refined,1.8722884846001395,0.9738236830804866
A,s5_freestyle1,savgol9_p3,3,right_lower_leg,heldout,delta,0.015119039304834159,0.15113897416522892
A,s5_freestyle1,savgol9_p3,4,head,fit,original,0.4875113071507328,0.5881301297218833
A,s5_freestyle1,savgol9_p3,4,head,fit,refined,0.5278860516922967,0.7036528589873844
A,s5_freestyle1,savgol9_p3,4,head,fit,delta,0.04037474454156392,0.11552272926550111
A,s5_freestyle1,savgol9_p3,5,pelvis,other,original,0.4994175145434702,0.5546295464640302
A,s5_freestyle1,savgol9_p3,5,pelvis,other,refined,0.5459912482006972,0.6838204397191844
A,s5_freestyle1,savgol9_p3,5,pelvis,other,delta,0.046573733657227,0.1291908932551542
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,original,0.39181280455363443,0.6177947558294826
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,refined,0.41544580727242725,0.6443977880891123
A,s5_freestyle1,savgol15_p3,0,left_forearm,fit,delta,0.023633002718792817,0.026603032259629678
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,original,1.1942696335634735,2.013164050245516
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,refined,1.2017410427029043,2.0215868760121833
A,s5_freestyle1,savgol15_p3,1,right_forearm,fit,delta,0.007471409139430785,0.008422825766667419
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,original,0.3235699060172959,0.40985993105092605
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,refined,0.34501686927481345,0.4575280398969862
A,s5_freestyle1,savgol15_p3,2,left_lower_leg,heldout,delta,0.02144696325751755,0.04766810884606015
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,original,1.5583035672129792,0.7248715066995052
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,refined,1.5588892328445454,0.7696008803018471
A,s5_freestyle1,savgol15_p3,3,right_lower_leg,heldout,delta,0.0005856656315661457,0.04472937360234197
A,s5_freestyle1,savgol15_p3,4,head,fit,original,0.3678897352649432,0.49064976259025084
A,s5_freestyle1,savgol15_p3,4,head,fit,refined,0.3820293207983534,0.5200112039695045
A,s5_freestyle1,savgol15_p3,4,head,fit,delta,0.014139585533410215,0.029361441379253672
A,s5_freestyle1,savgol15_p3,5,pelvis,other,original,0.3466148595650991,0.46163657953686016
A,s5_freestyle1,savgol15_p3,5,pelvis,other,refined,0.3713673753559454,0.5025419367852336
A,s5_freestyle1,savgol15_p3,5,pelvis,other,delta,0.024752515790846308,0.040905357248373464
