group,mahalanobis,max_abs_z,ref,sequence_index_in_group
ALL/all,74.89461377701929,,TotalCapture_train,1327
DIP/train,74.89461377701929,,TotalCapture_train,29
DIP/all,74.89461377701929,,TotalCapture_train,29
ALL/all,59.95064008871185,,TotalCapture_train,1315
DIP/train,59.95064008871185,,TotalCapture_train,17
DIP/all,59.95064008871185,,TotalCapture_train,17
ALL/all,54.081957985283616,,TotalCapture_train,1338
DIP/all,54.081957985283616,,TotalCapture_train,40
DIP/val,54.081957985283616,,TotalCapture_train,4
ALL/all,52.56996358968943,,TotalCapture_train,1355
DIP/all,52.56996358968943,,TotalCapture_train,57
DIP/test,52.56996358968943,,TotalCapture_train,15
ALL/all,34.901514915879716,,TotalCapture_train,1299
DIP/train,34.901514915879716,,TotalCapture_train,1
DIP/all,34.901514915879716,,TotalCapture_train,1
ALL/all,33.27614865183062,,TotalCapture_train,1302
DIP/train,33.27614865183062,,TotalCapture_train,4
DIP/all,33.27614865183062,,TotalCapture_train,4
ALL/all,32.96341077272701,,TotalCapture_train,1339
DIP/all,32.96341077272701,,TotalCapture_train,41
DIP/val,32.96341077272701,,TotalCapture_train,5
AMASS/train,32.42040869823504,,TotalCapture_train,259
AMASS/all,32.42040869823504,,TotalCapture_train,259
ALL/all,32.42040869823504,,TotalCapture_train,259
AMASS/train,32.327484258388246,,TotalCapture_train,629
AMASS/all,32.327484258388246,,TotalCapture_train,629
ALL/all,32.327484258388246,,TotalCapture_train,629
ALL/all,31.723401793392668,,TotalCapture_train,1356
DIP/all,31.723401793392668,,TotalCapture_train,58
DIP/test,31.723401793392668,,TotalCapture_train,16
AMASS/train,31.159779861961272,,TotalCapture_train,775
AMASS/all,31.159779861961272,,TotalCapture_train,775
ALL/all,31.159779861961272,,TotalCapture_train,775
AMASS/train,30.989238725241016,,TotalCapture_train,129
AMASS/all,30.989238725241016,,TotalCapture_train,129
ALL/all,30.989238725241016,,TotalCapture_train,129
AMASS/train,30.897341001471208,,TotalCapture_train,205
AMASS/all,30.897341001471208,,TotalCapture_train,205
ALL/all,30.897341001471208,,TotalCapture_train,205
AMASS/train,30.181946502863436,,TotalCapture_train,199
AMASS/all,30.181946502863436,,TotalCapture_train,199
ALL/all,30.181946502863436,,TotalCapture_train,199
