dataset,group,norm,root_part_of_prediction_loss_metric,sensor,sensor_index,sequence,split,x,y,z
AMASS,AMASS/train,0.2322593629360199,True,left_forearm,0,HumanEva/S1/Box_1_poses::original,train,0.229220911860466,0.037297092378139496,-0.0033336260821670294
AMASS,AMASS/train,0.23068968951702118,True,right_forearm,1,HumanEva/S1/Box_1_poses::original,train,-0.22829855978488922,0.03309030830860138,-0.001591414213180542
AMASS,AMASS/train,0.10266291350126266,True,left_lower_leg,2,HumanEva/S1/Box_1_poses::original,train,-0.026232825592160225,-0.09879124909639359,0.009581293910741806
AMASS,AMASS/train,0.12652751803398132,True,right_lower_leg,3,HumanEva/S1/Box_1_poses::original,train,0.026658212766051292,-0.12351106107234955,0.006600913126021624
AMASS,AMASS/train,0.2014065384864807,True,head,4,HumanEva/S1/Box_1_poses::original,train,0.000789714977145195,0.1993609368801117,-0.028621520847082138
AMASS,AMASS/train,0.14912451803684235,False,pelvis,5,HumanEva/S1/Box_1_poses::original,train,-0.0011221040040254593,0.09951169043779373,-0.11105983704328537
AMASS,AMASS/train,0.20604698359966278,True,left_forearm,0,HumanEva/S1/Box_1_poses::offset_aug_overlay,train,0.19823960959911346,0.05159396305680275,-0.022236855700612068
AMASS,AMASS/train,0.22877991199493408,True,right_forearm,1,HumanEva/S1/Box_1_poses::offset_aug_overlay,train,-0.22351683676242828,0.041098739951848984,0.026293907314538956
AMASS,AMASS/train,0.14513146877288818,True,left_lower_leg,2,HumanEva/S1/Box_1_poses::offset_aug_overlay,train,-0.06111077219247818,-0.12666402757167816,0.03584469109773636
AMASS,AMASS/train,0.1555798500776291,True,right_lower_leg,3,HumanEva/S1/Box_1_poses::offset_aug_overlay,train,0.028676724061369896,-0.15278081595897675,0.006384008098393679
AMASS,AMASS/train,0.19730287790298462,True,head,4,HumanEva/S1/Box_1_poses::offset_aug_overlay,train,-0.0268771443516016,0.19426128268241882,-0.021647067740559578
AMASS,AMASS/train,0.19877742230892181,False,pelvis,5,HumanEva/S1/Box_1_poses::offset_aug_overlay,train,0.005791486240923405,0.12038227915763855,-0.15807285904884338
AMASS,AMASS/train,0.2320745438337326,True,left_forearm,0,HumanEva/S1/Box_3_poses::original,train,0.22905489802360535,0.03718079999089241,-0.0031681396067142487
AMASS,AMASS/train,0.23036514222621918,True,right_forearm,1,HumanEva/S1/Box_3_poses::original,train,-0.22803713381290436,0.032659344375133514,-0.0007302649319171906
AMASS,AMASS/train,0.10280229151248932,True,left_lower_leg,2,HumanEva/S1/Box_3_poses::original,train,-0.026158710941672325,-0.09905987232923508,0.008436564356088638
AMASS,AMASS/train,0.12653833627700806,True,right_lower_leg,3,HumanEva/S1/Box_3_poses::original,train,0.02675112709403038,-0.12350580096244812,0.006530293263494968
AMASS,AMASS/train,0.20139844715595245,True,head,4,HumanEva/S1/Box_3_poses::original,train,0.0008523315191268921,0.19933724403381348,-0.028727618977427483
