comparison,input,target,dataset,split,sequence_name,sensor,valid_frames,mse,rmse,mae,l2,corr,cosine,mag_mae,axis_mae_x,axis_mae_y,axis_mae_z,energy_a,energy_b,root_abs_mean_aM_rel,leakage_raw_corr,leakage_rel_corr
raw absolute,aM,FK absolute zero-trans,AMASS,train,HumanEva/S1/Box_1_poses::original,overall,1370,3.666666030883789,1.9148540496826172,1.210503339767456,2.4365618228912354,0.8985395431518555,0.611454427242279,1.2155976295471191,1.2174770832061768,1.0059863328933716,1.4080461263656616,4.506634712219238,4.493805885314941,0.0,0.7360973358154297,0.7458612322807312
raw absolute,aM,FK absolute zero-trans,AMASS,train,HumanEva/S1/Box_1_poses::original,left_forearm,1370,4.405712127685547,2.0989787578582764,1.3905466794967651,2.7936742305755615,0.9529101848602295,0.8442748188972473,1.2788727283477783,1.3479121923446655,1.2210170030593872,1.6027110815048218,8.583910942077637,8.767598152160645,0.0,0.7360973358154297,0.7458612322807312
raw absolute,aM,FK absolute zero-trans,AMASS,train,HumanEva/S1/Box_1_poses::original,right_forearm,1370,4.088130474090576,2.0219125747680664,1.298959493637085,2.613813638687134,0.9565552473068237,0.8380149006843567,1.2170660495758057,1.317824363708496,1.116145133972168,1.4629093408584595,8.17158317565918,8.385286331176758,0.0,0.7360973358154297,0.7458612322807312
raw absolute,aM,FK absolute zero-trans,AMASS,train,HumanEva/S1/Box_1_poses::original,left_lower_leg,1370,3.267957925796509,1.8077493906021118,1.1249473094940186,2.2727935314178467,0.6536528468132019,0.5589234828948975,1.1282833814620972,1.1469805240631104,0.9098573923110962,1.318003535270691,2.676163911819458,2.8498473167419434,0.0,0.7360973358154297,0.7458612322807312
raw absolute,aM,FK absolute zero-trans,AMASS,train,HumanEva/S1/Box_1_poses::original,right_lower_leg,1370,3.1622393131256104,1.778268575668335,1.1146506071090698,2.2448694705963135,0.5560152530670166,0.520490288734436,1.124552845954895,1.1539044380187988,0.8837209939956665,1.306325912475586,2.3961713314056396,2.5850419998168945,0.0,0.7360973358154297,0.7458612322807312
raw absolute,aM,FK absolute zero-trans,AMASS,train,HumanEva/S1/Box_1_poses::original,head,1370,3.25825834274292,1.8050646781921387,1.1321234703063965,2.281639575958252,0.6330050230026245,0.592348575592041,1.1083565950393677,1.1490470170974731,0.8902313709259033,1.3570924997329712,2.642803192138672,3.0498063564300537,0.0,0.7360973358154297,0.7458612322807312
raw absolute,aM,FK absolute zero-trans,AMASS,train,HumanEva/S1/Box_1_poses::original,pelvis,1370,3.817699670791626,1.9538934230804443,1.201791524887085,2.4125816822052,0.2907630205154419,0.3146747350692749,1.4364540576934814,1.1891940832138062,1.0149472951889038,1.401233434677124,2.5691773891448975,1.3252547979354858,0.0,0.7360973358154297,0.7458612322807312
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,HumanEva/S1/Box_1_poses::original,overall,1370,8.938173294067383,2.989677667617798,1.7108566761016846,3.4892170429229736,0.7326266765594482,0.28567302227020264,2.4895215034484863,1.802720308303833,1.246458649635315,2.0833914279937744,2.2092459201812744,4.493805885314941,0.0,0.7360973358154297,0.7458612322807312
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,HumanEva/S1/Box_1_poses::original,left_forearm,1370,20.987197875976562,4.581178665161133,3.0017120838165283,6.1174421310424805,0.7648178339004517,0.458583801984787,4.404908657073975,3.12556529045105,2.5803751945495605,3.299196243286133,4.731194019317627,8.767598152160645,0.0,0.7360973358154297,0.7458612322807312
zero-trans old,aM_smooth,FK zero-trans absolute,AMASS,train,HumanEva/S1/Box_1_poses::original,right_forearm,1370,17.3452205657959,4.164759159088135,2.576188325881958,5.2333455085754395,0.8124509453773499,0.5153356194496155,3.626995086669922,2.5334219932556152,2.1384685039520264,3.0566744804382324,5.169421195983887,8.385286331176758,0.0,0.7360973358154297,0.7458612322807312
