comparison,dataset,split,sequence_name,sensor,valid_frames,num_sequences,mse,rmse,mae,l2,corr,cosine,mag_mae,axis_mae_x,axis_mae_y,axis_mae_z,axis_rmse_x,axis_rmse_y,axis_rmse_z,energy_imu,energy_gt
raw_leaf_relative,AMASS,train,HumanEva/S1/Box_1_poses::original,overall_leaf_only,1370,1,1.5710217952728271,1.253404140472412,0.9173572659492493,1.8478398323059082,0.9671933650970459,0.8245911002159119,0.9403704404830933,0.9514480233192444,0.7666048407554626,1.034018874168396,1.2611474990844727,1.1097880601882935,1.3751156330108643,5.748566150665283,5.2745208740234375
raw_leaf_relative,AMASS,train,HumanEva/S1/Box_1_poses::original,left_forearm,1370,1,2.304415464401245,1.5180301666259766,1.1129392385482788,2.2323527336120605,0.9772174954414368,0.9077620506286621,1.0527948141098022,1.102033019065857,1.0484997034072876,1.1882847547531128,1.4769195318222046,1.5016943216323853,1.5738070011138916,9.324742317199707,8.9451265335083
raw_leaf_relative,AMASS,train,HumanEva/S1/Box_1_poses::original,right_forearm,1370,1,2.111515522003174,1.4531054496765137,1.0403556823730469,2.0888442993164062,0.9789792895317078,0.8955489993095398,0.9264335036277771,1.0691791772842407,0.8847436904907227,1.1671438217163086,1.4916213750839233,1.2717926502227783,1.5786564350128174,8.870116233825684,8.488499641418457
raw_leaf_relative,AMASS,train,HumanEva/S1/Box_1_poses::original,left_lower_leg,1370,1,1.1354026794433594,1.0655527114868164,0.8033264875411987,1.6274508237838745,0.914924681186676,0.7833641171455383,0.9216596484184265,0.8046019673347473,0.6383918523788452,0.9669855237007141,1.0277923345565796,0.882208526134491,1.2536184787750244,3.5355660915374756,2.966444730758667
raw_leaf_relative,AMASS,train,HumanEva/S1/Box_1_poses::original,right_lower_leg,1370,1,1.1052151918411255,1.0512921810150146,0.8042582273483276,1.6151231527328491,0.8982867002487183,0.7338199615478516,0.8992516398429871,0.8707150816917419,0.63555508852005,0.9065044522285461,1.082321047782898,0.878759503364563,1.1713275909423828,3.2582790851593018,2.6887738704681396
raw_leaf_relative,AMASS,train,HumanEva/S1/Box_1_poses::original,head,1370,1,1.198560118675232,1.0947877168655396,0.8259068131446838,1.675428032875061,0.9134154915809631,0.8024604916572571,0.9017128348350525,0.9107111692428589,0.6258336305618286,0.9411757588386536,1.1482434272766113,0.8573768734931946,1.2418220043182373,3.754131555557251,3.283762216567993
butter2_4hz_leaf_relative,AMASS,train,HumanEva/S1/Box_1_poses::original,overall_leaf_only,1370,1,0.188980832695961,0.4347192645072937,0.2795135974884033,0.5798129439353943,0.9916755557060242,0.8290789127349854,0.3008245825767517,0.32776564359664917,0.16703830659389496,0.3437368869781494,0.4770410656929016,0.33726969361305237,0.474998414516449,3.134977102279663,3.017577886581421
butter2_4hz_leaf_relative,AMASS,train,HumanEva/S1/Box_1_poses::original,left_forearm,1370,1,0.3683997094631195,0.6069594025611877,0.3687412142753601,0.7505982518196106,0.9927811622619629,0.8896934390068054,0.3403041958808899,0.42849811911582947,0.2945920526981354,0.3831333518028259,0.6971296072006226,0.5881959795951843,0.5227187275886536,5.647300720214844,5.633108139038086
butter2_4hz_leaf_relative,AMASS,train,HumanEva/S1/Box_1_poses::original,right_forearm,1370,1,0.2833312451839447,0.532288670539856,0.3407922685146332,0.6944388747215271,0.9951369762420654,0.8855684399604797,0.27635231614112854,0.35654547810554504,0.24170422554016113,0.42412707209587097,0.4994299113750458,0.40991008281707764,0.6576757431030273,6.096424579620361,6.01417875289917
butter2_4hz_leaf_relative,AMASS,train,HumanEva/S1/Box_1_poses::original,left_lower_leg,1370,1,0.09480658173561096,0.30790677666664124,0.22636327147483826,0.47793275117874146,0.9409666657447815,0.8086301684379578,0.2918548285961151,0.2716231644153595,0.10490422695875168,0.3025624752044678,0.3530048131942749,0.1433286815881729,0.37318122386932373,1.279355764389038,1.0844385623931885
