version,seed_checkpoint_status,parent_checkpoint,pl_upstream,s4_json,s5_json,real_s4_json,real_s5_json,s4_score,s4_local_sip,s4_local_angle,s4_local_joint,s4_local_mesh,s4_global_sip,s4_global_angle,s4_global_joint,s4_global_mesh,s4_root_jitter,s4_joint_jitter,s5_score,s5_local_sip,s5_local_angle,s5_local_joint,s5_local_mesh,s5_global_sip,s5_global_angle,s5_global_joint,s5_global_mesh,s5_root_jitter,s5_joint_jitter,real_s4_pRJ_l1_cm,real_s4_pRJ_l2_cm,real_s4_gR2_angle_deg,real_s4_pRJ_dot_l2,real_s4_pRJ_ddot_l2,real_s4_gR2_dot_l2,real_s4_gR2_ddot_l2,real_s5_pRJ_l1_cm,real_s5_pRJ_l2_cm,real_s5_gR2_angle_deg,real_s5_pRJ_dot_l2,real_s5_pRJ_ddot_l2,real_s5_gR2_dot_l2,real_s5_gR2_ddot_l2,s4_score_delta_vs_pl_only,s5_score_delta_vs_official_ik1
baseline_official_ik1,official,official IK1,newpl_v4_init36,data/experiments/ik1_auto_search/round0/full_pipeline/s4/baseline_official_ik1/result.json,data/experiments/fixed_init36_ik1_trend/s5/baseline_official_ik1/result.json,data/experiments/fixed_init36_ik1_trend/real_streaming/s4/baseline_official_ik1/result.json,data/experiments/ik1_auto_search/round0/real_streaming/s5/baseline_official_ik1/result.json,38.625657482802865,10.13525094985962,8.77213363647461,4.4951457500457765,5.13820219039917,10.290855979919433,8.538510513305663,4.346226930618286,4.898400592803955,0.28584847748279574,0.47691351771354673,43.81127653867006,9.647517800331116,12.44710111618042,4.358768105506897,5.107238292694092,9.131767272949219,11.75735354423523,3.8370408415794373,4.44201785326004,0.3705526255071163,0.7955910265445709,2.449840784072876,4.9430084228515625,25.584686279296875,0.026529185473918915,0.022271879017353058,0.010931412689387798,0.006456701084971428,2.2525947093963623,4.610454082489014,15.153098106384277,0.026133563369512558,0.020772527903318405,0.011459792964160442,0.006751763168722391,0.0,0.0
newik1_v4_official_input,found,data/experiments/newik1_official_input_20260604/pl1_streaming_tc_finetune/best_loss.pt,newpl_v4_init36,data/experiments/fixed_init36_ik1_trend/s4/newik1_v4_official_input/result.json,data/experiments/fixed_init36_ik1_trend/s5/newik1_v4_official_input/result.json,data/experiments/ik1_auto_search/round0/real_streaming/s4/newik1_v4_official_input/result.json,data/experiments/ik1_auto_search/round0/real_streaming/s5/newik1_v4_official_input/result.json,38.6972478222847,10.06729621887207,8.804924583435058,4.529463863372802,5.17761197090149,10.334024906158447,8.592272472381591,4.408935022354126,4.929739141464234,0.2972386389970779,0.48897528648376465,43.92881545905024,9.624021530151367,12.546680927276611,4.322596848011017,5.1406508684158325,9.119454860687256,11.811805963516235,3.8605257272720337,4.431929707527161,0.39605626929551363,0.8539919890463352,2.4797887802124023,5.008570671081543,25.48590660095215,0.026325497776269913,0.021824829280376434,0.010941664688289165,0.0065044560469686985,2.2419562339782715,4.597548484802246,15.086614608764648,0.02479841746389866,0.018928835168480873,0.011545977555215359,0.006899991072714329,0.0715903394818369,0.11753892038018421
newik1_v6_stage_a,found,data/experiments/newik1_v6_official_input_init36_cascade_rerun/stage_a_continue/best_loss.pt,newpl_v4_init36,data/experiments/ik1_auto_search/round0/full_pipeline/s4/newik1_v6_stage_a/result.json,data/experiments/fixed_init36_ik1_trend/s5/newik1_v6_stage_a/result.json,data/experiments/fixed_init36_ik1_trend/real_streaming/s4/newik1_v6_stage_a/result.json,data/experiments/ik1_auto_search/round0/real_streaming/s5/newik1_v6_stage_a/result.json,38.649136830300094,10.066027450561524,8.79630355834961,4.52389087677002,5.174596786499023,10.31864824295044,8.571873569488526,4.3895911693573,4.904520702362061,0.30062844827771185,0.4935804337263107,43.85181389780715,9.617714643478394,12.505094766616821,4.309996843338013,5.126302123069763,9.118677496910095,11.785181283950806,3.854469418525696,4.421529710292816,0.4033846762031317,0.8699080664664507,2.4646315574645996,4.977619171142578,25.492042541503906,0.02633807249367237,0.02189459651708603,0.010975486598908901,0.0065315538085997105,2.231083631515503,4.5770344734191895,15.107321739196777,0.024935754016041756,0.019095664843916893,0.01163360197097063,0.007019957061856985,0.02347934749722924,0.040537359137090334
newik1_v7_best,found,data/experiments/newik1_v7_last_pl_control_lightloss_amass/stage_a_lightloss_amass/best_loss.pt,newpl_v4_init36,data/experiments/ik1_auto_search/round0/full_pipeline/s4/newik1_v7_best/result.json,data/experiments/fixed_init36_ik1_trend/s5/newik1_v7_best/result.json,data/experiments/ik1_auto_search/round0/real_streaming/s4/newik1_v7_best/result.json,data/experiments/ik1_auto_search/round0/real_streaming/s5/newik1_v7_best/result.json,38.69478097228706,10.155638122558594,8.780602645874023,4.506718969345092,5.149347591400146,10.316577625274657,8.55061378479004,4.360230112075806,4.9109173774719235,0.2785334773361683,0.4653885647654533,43.85909186106175,9.671209216117859,12.452542066574097,4.363961756229401,5.117542624473572,9.14937424659729,11.757962226867676,3.8410638570785522,4.445083498954773,0.3510137936100364,0.7501543574035168,2.4574196338653564,4.959465503692627,25.57992935180664,0.0266093872487545,0.021699324250221252,0.01088661327958107,0.006358500104397535,2.2518982887268066,4.609546661376953,15.147358894348145,0.02500772289931774,0.018670689314603806,0.011155071668326855,0.0062361666932702065,0.06912348948419833,0.04781532239169195
newik1_v8_B4_last,found,data/experiments/newik1_v8_parallel_adaptive_loss_search/v8_B4_pRJ_x2_lowdyn/train/last.pt,newpl_v4_init36,data/experiments/ik1_auto_search/round0/full_pipeline/s4/newik1_v8_B4_last/result.json,data/experiments/fixed_init36_ik1_trend/s5/newik1_v8_B4_last/result.json,data/experiments/ik1_auto_search/round0/real_streaming/s4/newik1_v8_B4_last/result.json,data/experiments/ik1_auto_search/round0/real_streaming/s5/newik1_v8_B4_last/result.json,38.69415222530066,10.155435752868652,8.780413722991943,4.506601095199585,5.149188375473022,10.31648416519165,8.550490474700927,4.360141086578369,4.910782766342163,0.2785340346395969,0.4653891369700432,43.860368536058814,9.671541094779968,12.453015565872192,4.364069819450378,5.117747902870178,9.149513721466064,11.758282899856567,3.8410672545433044,4.445103466510773,0.3510159496217966,0.7501546684652567,2.457329034805298,4.959296703338623,25.579580307006836,0.026609381660819054,0.021699324250221252,0.010886583477258682,0.0063584912568330765,2.2518768310546875,4.609510898590088,15.146869659423828,0.025007719174027443,0.018670689314603806,0.011155053041875362,0.0062361545860767365,0.06849474249779774,0.049091997388757136
newik1_v9_C8_last,found,data/experiments/newik1_v9_adaptive_loss_search/v9_C8_no_control_dyn/train/last.pt,newpl_v4_init36,data/experiments/ik1_auto_search/round0/full_pipeline/s4/newik1_v9_C8_last/result.json,data/experiments/fixed_init36_ik1_trend/s5/newik1_v9_C8_last/result.json,data/experiments/fixed_init36_ik1_trend/real_streaming/s4/newik1_v9_C8_last/result.json,data/experiments/ik1_auto_search/round0/real_streaming/s5/newik1_v9_C8_last/result.json,38.69384564702212,10.15534267425537,8.78029670715332,4.506520175933838,5.149078845977783,10.316460132598877,8.550429248809815,4.360109663009643,4.9107245922088625,0.2785369522869587,0.4653900310397148,43.8609724480845,9.671691298484802,12.453238487243652,4.364092111587524,5.117820978164673,9.149576425552368,11.758445739746094,3.8410972356796265,4.4451345801353455,0.3510171761736274,0.750156233087182,2.4572696685791016,4.959182262420654,25.579391479492188,0.026609381660819054,0.021699324250221252,0.010886572301387787,0.0063584898598492146,2.251845121383667,4.609444618225098,15.146624565124512,0.025007711723446846,0.018670689314603806,0.01115504838526249,0.006236150395125151,0.06818816421925789,0.049695909414445794
v10_residual_pRJ_only_alpha025_from_v6a,completed,residual_pRJ_only alpha=0.25 from newik1_v6_stage_a,newpl_v4_init36,data/experiments/ik1_auto_search/round1_retry1/v10_residual_pRJ_only_alpha025_from_v6a/s4/best_loss/result.json,data/experiments/ik1_auto_search/round1_retry1/v10_residual_pRJ_only_alpha025_from_v6a/s5/best_loss/result.json,data/experiments/ik1_auto_search/round1_retry1/v10_residual_pRJ_only_alpha025_from_v6a/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round1_retry1/v10_residual_pRJ_only_alpha025_from_v6a/real_streaming/s5/best_loss/result.json,38.401125624060626,10.069402694702148,8.727775764465331,4.470314264297485,5.110921478271484,10.23533363342285,8.486337184906006,4.304667139053345,4.840811014175415,0.28680822253227234,0.47782062292099,43.84817816592753,9.646694779396057,12.468416452407837,4.341636061668396,5.115289092063904,9.137168526649475,11.771339654922485,3.823734700679779,4.422149419784546,0.3735490506514907,0.8021676316857338,2.414121627807617,4.875001907348633,25.584686279296875,0.02634515054523945,0.02213888242840767,0.010931412689387798,0.006456701084971428,2.2296485900878906,4.568667411804199,15.153098106384277,0.02570294588804245,0.02028793841600418,0.011459792964160442,0.006751763168722391,-0.2245318587422389,0.03690162725747115
v10_residual_pRJ_only_alpha05_from_v6a,completed,residual_pRJ_only alpha=0.5 from newik1_v6_stage_a,newpl_v4_init36,data/experiments/ik1_auto_search/round1_retry1/v10_residual_pRJ_only_alpha05_from_v6a/s4/best_loss/result.json,data/experiments/ik1_auto_search/round1_retry1/v10_residual_pRJ_only_alpha05_from_v6a/s5/best_loss/result.json,data/experiments/ik1_auto_search/round1_retry1/v10_residual_pRJ_only_alpha05_from_v6a/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round1_retry1/v10_residual_pRJ_only_alpha05_from_v6a/real_streaming/s5/best_loss/result.json,38.30681182323395,10.039692497253418,8.71478910446167,4.466692161560059,5.10838041305542,10.208867645263672,8.463436317443847,4.285636854171753,4.80901026725769,0.2881957024335861,0.47933572381734846,43.867689362633975,9.642346501350403,12.483997821807861,4.327491879463196,5.121562480926514,9.137211203575134,11.781686544418335,3.815983235836029,4.409284234046936,0.3772413032129407,0.8099779952317476,2.408508777618408,4.86588716506958,25.584686279296875,0.026263324543833733,0.02203330770134926,0.010931412689387798,0.006456701084971428,2.219886302947998,4.551676273345947,15.153098106384277,0.025367915630340576,0.019850442185997963,0.011459792964160442,0.006751763168722391,-0.31884565956891464,0.05641282396391745
v10_ik2_input_distill_from_v6a,completed,downstream-aware IK2 input distill from newik1_v6_stage_a,newpl_v4_init36,data/experiments/ik1_auto_search/round1_retry1/v10_ik2_input_distill_from_v6a/s4/best_loss/result.json,data/experiments/ik1_auto_search/round1_retry1/v10_ik2_input_distill_from_v6a/s5/best_loss/result.json,data/experiments/ik1_auto_search/round1_retry1/v10_ik2_input_distill_from_v6a/real_streaming/s4/best_loss/result.json,data/experiments/ik1_auto_search/round1_retry1/v10_ik2_input_distill_from_v6a/real_streaming/s5/best_loss/result.json,38.41680224156379,10.076177978515625,8.730329704284667,4.4710526943206785,5.111426067352295,10.240815353393554,8.487079906463624,4.305175113677978,4.841847515106201,0.2866271585226059,0.4776518106460571,43.807055798713115,9.637646913528442,12.45914602279663,4.340159773826599,5.110072493553162,9.124706625938416,11.761341333389282,3.8217774033546448,4.420398771762848,0.37341867480427027,0.8021185342222452,2.4149391651153564,4.876088619232178,25.584686279296875,0.026340311393141747,0.022135809063911438,0.010931412689387798,0.006456701084971428,2.229055881500244,4.568141937255859,15.153098106384277,0.02569320611655712,0.020279746502637863,0.011459792964160442,0.006751763168722391,-0.20885524123907118,-0.0042207399569420545
v10_stage_a_low_lr_distill_official,failed,stage_a low LR full-mode distill from newik1_v6_stage_a,newpl_v4_init36,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
